"time","S_c1","C_c1","I_c1","VS_c1","VC_c1","S_h1","C_h1","I_h1","VS_h1","VC_h1","D_h1","CInc_1a","CInc_1b","CInc_1c","CInc_1d","col_adm","col_discharges","admissions","discharges","inc_bsi_hosp","inc_hosp_onset","total_cases"
71,78948.2196854719,1085.70370293957,0.0766115861203461,0,0,330.457278046833,61.616855668586,43.9258662845694,0,0,2169.66215520316,357201.503586514,5603.05121416514,5602.01525746951,4255.70979900292,106.387292212228,529.827080872406,4432.36575837765,4383.62621624757,0.0613979850913893,3.02917351349151,3.0905714985829
72,78951.9258845734,1081.99777102749,0.0763443967079645,0,0,330.021232876174,61.8175096423475,44.1612574814669,0,0,2170.61513592928,357211.387502268,5603.11213948167,5602.07643949803,4258.74899366504,107.618539496569,539.193013259152,4492.85352365799,4443.1073028342,0.0611820285257636,3.03919466212483,3.10037669065059
73,78955.5574035431,1078.36651384163,0.0760826127787498,0,0,329.596368194439,62.0125810103071,44.3910507952415,0,0,2171.57314908537,357221.298709248,5603.17285858657,5602.13740994567,4261.79793122792,108.845619424206,548.588970491249,4553.31099376299,4502.55309367961,0.0609704476310071,3.04893756287947,3.10990801051048
74,78959.1159819663,1074.80819192297,0.0758261083209427,0,0,329.182456289675,62.2022037251862,44.6153399851268,0,0,2172.53607456336,357231.236404941,5603.23337562836,5602.19817308622,4264.85634009111,110.068615833527,558.014115573472,4613.73889174193,4561.96443118063,0.0607631405582651,3.05840886318765,3.11917200374592
75,78962.6033181925,1071.32110704473,0.0755747603262404,0,0,328.77927127632,62.3865095807612,44.8342191429071,0,0,2173.50379428804,357241.19980896,5603.29369465898,5602.25873309394,4267.92395519778,111.287610610562,567.467631676175,4674.1379284063,4621.34214347634,0.0605600077151394,3.06761510667184,3.12817511438698
76,78966.0210701667,1067.90360138213,0.0753284487572532,0,0,328.386589259083,62.5656281700748,45.0477825708304,0,0,2174.47619222269,357251.188162514,5603.35381963604,5602.31909404576,4271.0005179272,112.502683735216,576.948721803896,4734.50880229598,4680.68704440864,0.060360951821167,3.07656272941495,3.13692368123611
77,78969.3708562555,1064.55405668564,0.075087056426854,0,0,328.00418848324,62.7396868514526,45.2561246652957,0,0,2175.4531543721,357261.200727882,5603.41375442509,5602.37925992373,4274.0857759852,113.713913326635,586.456608457898,4794.8521996609,4739.99993350086,0.0601658779723948,3.08525805800491,3.14542393597731
78,78972.6542560689,1061.27089345971,0.0748504689044891,0,0,327.631849473083,62.9088107209646,45.4593398059409,0,0,2176.43456878341,357271.236787893,5603.47350280179,5602.43923461729,4277.17948329346,114.921375687679,595.99053329483,4855.16879445614,4799.28159595209,0.0599746935531584,3.09370730825594,3.1536820018091
79,78975.8728112753,1058.05257014771,0.074618574485255,0,0,327.269355158877,63.0731225909099,45.6575222502014,0,0,2177.42032554469,357281.295645419,5603.53306845408,5602.49902192542,4280.28139987764,116.125145348525,605.549756782168,4915.45924835027,4858.53280264691,0.0597873081323996,3.10191658418171,3.16170389231411
80,78979.0280264093,1054.89758232407,0.0743912641630596,0,0,326.916490991871,63.2327429744329,45.8507660336842,0,0,2178.41031678132,357291.376622863,5603.5924549843,5602.55862555884,4283.39129175464,117.325295109326,615.133557850628,4975.72421074749,4917.75431018109,0.0596036334254677,3.10989187700579,3.16949551043126
